"location_id","location_name","cause_id","avg_prevalence_rate","avg_total_energy","avg_energy_from_animal_products","avg_total_fat","avg_total_protein","avg_total_carbohydrates","avg_pct_insufficient_activity","avg_total_alc_consumption","cluster"
46,"Croatia",491,5593.252625,2997.30684545455,792.999830909091,107.968763272727,86.5725451818182,419.824450909091,21.999,10.542,1
48,"Hungary",491,6966.079531,3174.47096818182,968.94593,139.173181818182,88.7713570454546,391.706724090909,25.014,11.035,1
51,"Poland",491,6258.495906,3389.61950454545,956.671018636364,117.552951454545,105.665280181818,477.245458636364,31.41,10.468,1
52,"Romania",491,6429.839709,3509.31505,917.418838181818,116.232717363636,110.059353409091,505.745795454545,29.537,9.945,1
54,"Slovakia",491,7152.860674,2852.11664090909,798.672244545455,117.049627454545,75.0502329545455,374.617259090909,24.121,10.153,1
55,"Slovenia",491,6365.88917,3152.34474545455,883.054102727273,117.200864227273,102.583050636364,421.801189090909,18.665,10.527,1
57,"Belarus",491,7140.987902,3108.93184090909,826.149341818182,116.480112227273,95.5251533636364,419.627549090909,15.358,11.592,1
58,"Estonia",491,7037.756523,3143.41174090909,933.712339545454,104.795018863636,99.5500757727273,450.514058636364,14.795,15.161,1
59,"Latvia",491,6136.986405,3137.62378181818,936.995399545455,122.302269954545,96.7929479545455,412.432897727273,16.43,11.194,1
60,"Lithuania",491,6672.560811,3296.08206818182,942.33709,98.923608,116.747502454545,484.694893181818,21.453,13.038,1
61,"Republic of Moldova",491,6305.903262,2458.12180454545,599.046253181818,70.0053957272727,72.3366783636364,384.681635909091,12.274,6.482,2
62,"Russian Federation",491,8426.439412,3250.14910909091,792.233532272727,99.8299086363636,102.130816681818,485.789159090909,15.083,8.809,1
63,"Ukraine",491,7459.466046,3106.13865454545,675.217658636364,88.1132718181818,91.1889091363636,487.09089,11.762,7.025,1
66,"Brunei Darussalam",491,4972.313843,2929.16226,583.448993,79.276462,87.1357596,466.782776,30.199,0.675,2
67,"Japan",491,4904.455582,2736.78606818182,556.269778636364,88.6127603181818,91.1929498181818,393.624858636364,38.97,6.495,2
68,"Republic of Korea",491,4945.450599,3217.96448636364,551.438791818182,98.5667520909091,97.3543515909091,485.361576363636,46.378,8.313,1
71,"Australia",491,6503.423857,3353.35275454545,1063.60040772727,149.701974090909,114.388435090909,387.120311363636,25.883,9.875,1
72,"New Zealand",491,5904.954102,3179.05426363636,961.330583636364,117.914937772727,97.1946595454545,432.260297272727,19.743,9.124,1
75,"Austria",491,7051.155101,3740.82209090909,1145.42333181818,168.085486363636,106.611042,450.402130909091,23.981,11.875,1
